rank,row,col,utility,suitability,basis_match
3930,31,61,0.4761305,0.19404693,1
3931,64,193,0.47612733,0.19404203,1
3932,187,64,0.4759668,0.19379511,1
3933,195,128,0.4759668,0.19379511,1
3934,105,188,0.4759668,0.19379511,1
3935,104,189,0.4759668,0.19379511,1
3936,15,195,0.4759668,0.19379511,1
3937,143,33,0.4759668,0.19379511,1
3938,101,191,0.4759668,0.19379511,1
3939,63,126,0.4759084,0.19370522,1
3940,171,247,0.47567427,0.19334505,1
3941,115,161,0.47552764,0.19311948,1
3942,11,34,0.47552764,0.19311948,1
3943,21,62,0.47542644,0.19296378,1
3944,19,191,0.4754249,0.19296138,1
3945,113,163,0.4752484,0.19268988,1
3946,109,189,0.4752484,0.19268988,1
3947,13,36,0.4752323,0.19266509,1
3948,187,63,0.47517478,0.19257662,1
3949,236,11,0.47508794,0.19244297,1
3950,15,38,0.47507346,0.19242074,1
3951,63,125,0.47502732,0.19234978,1
3952,194,129,0.47502732,0.19234978,1
3953,192,130,0.47502732,0.19234978,1
3954,143,32,0.47502732,0.19234978,1
3955,229,32,0.47502732,0.19234978,1
3956,113,124,0.47502732,0.19234978,1
3957,27,62,0.47497934,0.19227593,1
3958,65,193,0.47493875,0.19221349,1
3959,115,160,0.47486487,0.19209982,1
3960,25,61,0.47479093,0.19198604,1
3961,32,31,0.47468728,0.19182661,1
3962,112,129,0.47465765,0.19178104,1
3963,16,62,0.47465765,0.19178104,1
3964,15,190,0.47465765,0.19178104,1
3965,113,129,0.47465765,0.19178104,1
3966,233,35,0.47449452,0.19153002,1
3967,233,161,0.47449452,0.19153005,1
3968,234,157,0.47449452,0.19153002,1
3969,238,33,0.47449452,0.19153005,1
3970,149,33,0.47449452,0.19153005,1
3971,62,124,0.47449452,0.19153002,1
3972,60,161,0.47449452,0.19153002,1
3973,60,163,0.47449452,0.19153005,1
3974,64,35,0.47449452,0.19153005,1
3975,65,31,0.47449452,0.19153002,1
3976,235,28,0.47449452,0.19153005,1
3977,148,32,0.47449452,0.19153005,1
3978,61,33,0.47449452,0.19153005,1
3979,235,162,0.47449452,0.19153005,1
3980,61,163,0.47449452,0.19153002,1
3981,63,30,0.47449452,0.19153002,1
3982,62,34,0.47449452,0.19153005,1
3983,59,158,0.47449452,0.19153002,1
3984,152,30,0.47449452,0.19153002,1
3985,59,162,0.47449452,0.19153005,1
3986,236,158,0.47449452,0.19153002,1
3987,68,162,0.47449452,0.19153005,1
3988,151,34,0.47449452,0.19153005,1
3989,152,35,0.47449452,0.19153005,1
3990,231,35,0.47449452,0.19153005,1
3991,232,33,0.47449452,0.19153002,1
3992,67,161,0.47449452,0.19153005,1
3993,237,32,0.47449452,0.19153005,1
3994,65,160,0.47449452,0.19153005,1
3995,65,195,0.47449452,0.19153002,1
3996,231,31,0.47449452,0.19153002,1
3997,238,29,0.47449452,0.19153002,1
3998,161,247,0.4744351,0.19143865,1
3999,197,128,0.47442025,0.1914158,1
4000,229,33,0.47391364,0.19063638,1
4001,95,160,0.47391364,0.19063638,1
4002,112,163,0.4739099,0.19063067,1
4003,193,130,0.47382393,0.19049838,1
4004,15,194,0.47382393,0.19049838,1
4005,195,129,0.47382393,0.19049838,1
4006,188,62,0.47382393,0.19049838,1
4007,190,61,0.47382393,0.19049838,1
4008,77,247,0.47377807,0.19042784,1
4009,14,157,0.47377807,0.19042784,1
4010,62,125,0.47368923,0.19029112,1
4011,114,124,0.47368923,0.19029112,1
4012,14,67,0.47368923,0.19029112,1
4013,114,129,0.47356927,0.1901066,1
4014,114,128,0.47356927,0.1901066,1
4015,13,190,0.47356927,0.1901066,1
4016,162,247,0.47337404,0.18980622,1
4017,15,63,0.47331387,0.18971369,1
4018,14,191,0.47331387,0.18971369,1
4019,198,130,0.47331387,0.18971369,1
4020,185,61,0.47331387,0.18971367,1
4021,12,191,0.47331387,0.18971369,1
4022,13,63,0.47331387,0.18971369,1
4023,115,128,0.47331387,0.18971369,1
4024,151,29,0.4731633,0.189482,1
4025,233,36,0.4731633,0.189482,1
4026,95,33,0.4731633,0.189482,1
4027,143,129,0.4731633,0.189482,1
4028,233,156,0.4731633,0.189482,1
4029,230,35,0.4731633,0.189482,1
4030,66,161,0.4731633,0.189482,1
4031,232,161,0.4731633,0.189482,1
4032,63,35,0.4731633,0.189482,1
4033,240,62,0.4731633,0.189482,1
4034,236,163,0.4731633,0.189482,1
4035,234,162,0.4731633,0.189482,1
4036,237,28,0.4731633,0.189482,1
4037,150,34,0.4731633,0.189482,1
4038,240,189,0.4731633,0.189482,1
4039,64,30,0.4731633,0.189482,1
4040,32,30,0.47307283,0.18934281,1
4041,143,130,0.47281596,0.18894765,1
4042,15,68,0.47278568,0.18890108,1
4043,112,123,0.47278568,0.18890108,1
4044,61,124,0.47278568,0.18890108,1
