split_index,feature,coef,abs_coef
6,coarse_hist_bin_03,0.0009600607339667408,0.0009600607339667408
6,coarse_hist_bin_04,0.2722623676647117,0.2722623676647117
6,coarse_hist_bin_05,-0.14935067509667038,0.14935067509667038
6,coarse_hist_bin_06,-0.0976877815227788,0.0976877815227788
6,coarse_hist_bin_07,-0.0640615013936581,0.0640615013936581
6,coarse_hist_bin_08,-0.059995538630233394,0.059995538630233394
6,coarse_hist_bin_09,0.015013725608650086,0.015013725608650086
6,coarse_hist_bin_10,-0.04876735031584106,0.04876735031584106
6,coarse_hist_bin_11,0.102209747148601,0.102209747148601
6,coarse_hist_bin_12,0.04848553367816979,0.04848553367816979
6,coarse_hist_bin_13,-0.20134185778101718,0.20134185778101718
6,coarse_hist_bin_14,0.008129336889829237,0.008129336889829237
6,coarse_hist_bin_15,0.4375535510623158,0.4375535510623158
7,mean_intensity,0.0292055960850085,0.0292055960850085
7,std_intensity,-0.0414712656538186,0.0414712656538186
7,median_intensity,0.019530608168355675,0.019530608168355675
7,mad_intensity,-0.11929098152116253,0.11929098152116253
7,lsb_mean,-2.1827515194727023,2.1827515194727023
7,lsb_h_agreement,0.3944723407264453,0.3944723407264453
7,lsb_v_agreement,0.46237502836560346,0.46237502836560346
7,pair_balance_mean,0.4424911586637214,0.4424911586637214
7,pair_balance_std,0.38055732271166876,0.38055732271166876
7,pair_balance_max,0.4249370396469214,0.4249370396469214
7,pair_mass_std,-0.2687070684935593,0.2687070684935593
7,residual_mean,0.008819912794525198,0.008819912794525198
7,residual_std,-0.03577250831553028,0.03577250831553028
7,residual_mean_abs,-0.05281815227714207,0.05281815227714207
7,residual_skew,-0.11206529171470143,0.11206529171470143
7,residual_excess_kurtosis,0.0995866527517934,0.0995866527517934
7,lap_mean,0.008819912794525198,0.008819912794525198
7,lap_std,-0.03577250831553028,0.03577250831553028
7,lap_mean_abs,-0.05281815227714207,0.05281815227714207
7,lap_skew,-0.11206529171470143,0.11206529171470143
7,lap_excess_kurtosis,0.0995866527517934,0.0995866527517934
7,grad_mean,0.026455360677903675,0.026455360677903675
7,grad_std,-0.06862260707903312,0.06862260707903312
7,grad_skew,-0.18787620500395488,0.18787620500395488
7,grad_excess_kurtosis,-0.1629339879918405,0.1629339879918405
7,coarse_hist_bin_00,-0.3095227016818489,0.3095227016818489
7,coarse_hist_bin_01,0.056258382511727587,0.056258382511727587
7,coarse_hist_bin_02,0.13003038741759831,0.13003038741759831
7,coarse_hist_bin_03,-0.06270174323829518,0.06270174323829518
7,coarse_hist_bin_04,0.1220687931058597,0.1220687931058597
7,coarse_hist_bin_05,0.017982062405522546,0.017982062405522546
7,coarse_hist_bin_06,0.1641059852986068,0.1641059852986068
7,coarse_hist_bin_07,0.07147444003092937,0.07147444003092937
7,coarse_hist_bin_08,-0.21147269832455037,0.21147269832455037
7,coarse_hist_bin_09,-0.24136681343992858,0.24136681343992858
7,coarse_hist_bin_10,0.1637463180924236,0.1637463180924236
7,coarse_hist_bin_11,0.08835836231241335,0.08835836231241335
7,coarse_hist_bin_12,-0.4369152555455827,0.4369152555455827
7,coarse_hist_bin_13,0.03413716784827407,0.03413716784827407
7,coarse_hist_bin_14,0.10002299321724974,0.10002299321724974
7,coarse_hist_bin_15,0.3862021303517822,0.3862021303517822
8,mean_intensity,0.05245509836689883,0.05245509836689883
8,std_intensity,0.2419652970103318,0.2419652970103318
8,median_intensity,-0.07319406506633615,0.07319406506633615
8,mad_intensity,0.08168014929821323,0.08168014929821323
8,lsb_mean,-2.355201632862735,2.355201632862735
8,lsb_h_agreement,0.0706178375965026,0.0706178375965026
8,lsb_v_agreement,0.23748205390014726,0.23748205390014726
8,pair_balance_mean,0.036868832289630823,0.036868832289630823
8,pair_balance_std,0.005080521155466986,0.005080521155466986
8,pair_balance_max,0.3589132338246,0.3589132338246
8,pair_mass_std,-0.5754548931195815,0.5754548931195815
8,residual_mean,0.10581829006213804,0.10581829006213804
