rank,row,col,utility,suitability,basis_match,block_row,block_col
692,201,179,0.7463598,0.6097844,1,12,11
693,157,162,0.74630666,0.6097026,1,9,10
694,82,65,0.74630344,0.6096976,1,5,4
695,85,88,0.74617183,0.60949516,1,5,5
696,165,156,0.74605244,0.60931146,1,10,9
697,81,88,0.7455079,0.6084737,1,5,5
698,174,212,0.7451223,0.60788053,1,10,13
699,86,69,0.74489063,0.6075241,1,5,4
700,83,78,0.744715,0.60725385,1,5,4
701,108,81,0.7446699,0.60718447,1,6,5
702,181,196,0.7443701,0.6067233,1,11,12
703,93,75,0.7442917,0.60660267,1,5,4
704,158,189,0.7442689,0.6065675,1,9,11
705,84,88,0.74419355,0.60645163,1,5,5
706,184,170,0.74405533,0.606239,1,11,10
707,80,81,0.74394745,0.606073,1,5,5
708,167,194,0.74378633,0.6058252,1,10,12
709,76,86,0.7436291,0.6055833,1,4,5
710,83,92,0.74357605,0.6055017,1,5,5
711,186,169,0.74347895,0.6053523,1,11,10
712,193,203,0.7434614,0.60532516,1,12,12
713,151,194,0.74340236,0.6052344,1,9,12
714,154,190,0.7432126,0.6049425,1,9,11
715,101,89,0.7431317,0.60481805,1,6,5
716,189,166,0.74309987,0.60476905,1,11,10
717,184,197,0.7429694,0.6045683,1,11,12
718,90,83,0.74292344,0.6044976,1,5,5
719,200,170,0.7426668,0.6041028,1,12,10
720,174,165,0.74233365,0.60359025,1,10,10
721,199,171,0.7422692,0.6034911,1,12,10
722,167,156,0.74225235,0.60346514,1,10,9
723,147,194,0.7422066,0.60339475,1,9,12
724,98,61,0.74204886,0.6031521,1,6,3
725,183,197,0.7418623,0.60286504,1,11,12
726,97,80,0.7418426,0.6028348,1,6,5
727,181,156,0.74156535,0.60240823,1,11,9
728,83,87,0.74137247,0.60211146,1,5,5
729,90,77,0.7412932,0.60198957,1,5,4
730,97,79,0.74107516,0.6016541,1,6,4
731,104,83,0.7410748,0.6016536,1,6,5
732,152,174,0.7410537,0.60162115,1,9,10
733,156,208,0.74094915,0.6014602,1,9,13
734,192,165,0.74041975,0.6006458,1,12,10
735,155,189,0.7402346,0.600361,1,9,11
736,200,193,0.7402135,0.6003285,1,12,12
737,102,92,0.7400272,0.6000418,1,6,5
738,82,78,0.7397232,0.59957415,1,5,4
739,92,68,0.7396652,0.599485,1,5,4
740,149,197,0.7396352,0.5994389,1,9,12
741,189,186,0.7395035,0.5992362,1,11,11
742,81,78,0.7394402,0.59913874,1,5,4
743,91,81,0.7393842,0.59905255,1,5,5
744,72,81,0.7392186,0.59879786,1,4,5
745,97,82,0.7388464,0.5982253,1,6,5
746,87,92,0.73874354,0.598067,1,5,5
747,90,60,0.7385731,0.5978047,1,5,3
748,193,186,0.73856187,0.59778756,1,12,11
749,186,199,0.7384926,0.5976809,1,11,12
750,82,84,0.73848486,0.59766906,1,5,5
751,180,192,0.7384329,0.5975891,1,11,12
752,101,85,0.7383952,0.59753114,1,6,5
753,80,85,0.7382947,0.5973765,1,5,5
754,148,171,0.7381286,0.59712094,1,9,10
755,188,200,0.7381135,0.5970977,1,11,12
756,76,75,0.7380438,0.5969905,1,4,4
757,175,189,0.73795325,0.59685117,1,10,11
758,190,189,0.73792815,0.5968126,1,11,11
759,173,203,0.73779494,0.5966076,1,10,12
760,200,198,0.7376139,0.5963291,1,12,12
761,79,75,0.73757005,0.5962617,1,4,4
762,200,171,0.73740405,0.5960063,1,12,10
763,189,187,0.7372612,0.5957864,1,11,11
764,105,78,0.73702884,0.595429,1,6,4
