split_index,detector,train_size,test_size,test_auc,test_average_precision,test_accuracy,test_f1,test_precision,test_recall,tn,fp,fn,tp
26,random_forest,28,14,0.9081632653061225,0.9214285714285713,0.8571428571428571,0.8333333333333334,1.0,0.7142857142857143,7,0,2,5
27,logistic_regression,28,14,0.8163265306122449,0.7857142857142858,0.7142857142857143,0.7777777777777778,0.6363636363636364,1.0,3,4,0,7
27,random_forest,28,14,0.826530612244898,0.8214285714285714,0.7857142857142857,0.8235294117647058,0.7,1.0,4,3,0,7
28,logistic_regression,28,14,0.7142857142857143,0.7718210361067503,0.5714285714285714,0.6666666666666666,0.5454545454545454,0.8571428571428571,2,5,1,6
28,random_forest,28,14,0.8163265306122449,0.8690476190476191,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,5
29,logistic_regression,28,14,0.7959183673469388,0.857535321821036,0.7142857142857143,0.6,1.0,0.42857142857142855,7,0,4,3
29,random_forest,28,14,0.9591836734693877,0.9682539682539681,0.9285714285714286,0.9230769230769231,1.0,0.8571428571428571,7,0,1,6
30,logistic_regression,28,14,0.7551020408163265,0.8453213453213453,0.7857142857142857,0.7692307692307693,0.8333333333333334,0.7142857142857143,6,1,2,5
30,random_forest,28,14,0.8775510204081632,0.9123376623376622,0.8571428571428571,0.8333333333333334,1.0,0.7142857142857143,7,0,2,5
31,logistic_regression,28,14,0.7551020408163265,0.7726190476190475,0.6428571428571429,0.6666666666666666,0.625,0.7142857142857143,4,3,2,5
31,random_forest,28,14,0.8265306122448979,0.8214285714285714,0.7142857142857143,0.6666666666666666,0.8,0.5714285714285714,6,1,3,4
32,logistic_regression,28,14,0.7755102040816326,0.853113553113553,0.7142857142857143,0.6666666666666666,0.8,0.5714285714285714,6,1,3,4
32,random_forest,28,14,0.8061224489795917,0.8353741496598639,0.7142857142857143,0.6666666666666666,0.8,0.5714285714285714,6,1,3,4
33,logistic_regression,28,14,0.7959183673469388,0.7972789115646257,0.7142857142857143,0.75,0.6666666666666666,0.8571428571428571,4,3,1,6
33,random_forest,28,14,0.8979591836734694,0.9404761904761902,0.9285714285714286,0.9230769230769231,1.0,0.8571428571428571,7,0,1,6
34,logistic_regression,28,14,0.7551020408163266,0.7626373626373626,0.7142857142857143,0.6666666666666666,0.8,0.5714285714285714,6,1,3,4
34,random_forest,28,14,0.9489795918367346,0.9571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,1,1,6
35,logistic_regression,28,14,0.7755102040816326,0.7779434850863423,0.7142857142857143,0.75,0.6666666666666666,0.8571428571428571,4,3,1,6
35,random_forest,28,14,0.7857142857142857,0.8200680272108842,0.7142857142857143,0.75,0.6666666666666666,0.8571428571428571,4,3,1,6
36,logistic_regression,28,14,0.7755102040816326,0.7779434850863423,0.6428571428571429,0.5454545454545454,0.75,0.42857142857142855,6,1,4,3
36,random_forest,28,14,0.7551020408163265,0.8361067503924646,0.7857142857142857,0.7272727272727273,1.0,0.5714285714285714,7,0,3,4
37,logistic_regression,28,14,0.7551020408163266,0.7571428571428571,0.6428571428571429,0.7058823529411765,0.6,0.8571428571428571,3,4,1,6
37,random_forest,28,14,0.8673469387755102,0.8121315192743763,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,1,1,6
38,logistic_regression,28,14,0.7142857142857143,0.7947802197802196,0.6428571428571429,0.6666666666666666,0.625,0.7142857142857143,4,3,2,5
38,random_forest,28,14,0.8367346938775511,0.8766233766233766,0.7857142857142857,0.7692307692307693,0.8333333333333334,0.7142857142857143,6,1,2,5
39,logistic_regression,28,14,0.8163265306122449,0.8864468864468864,0.5714285714285714,0.6666666666666666,0.5454545454545454,0.8571428571428571,2,5,1,6
39,random_forest,28,14,0.7653061224489797,0.7571428571428571,0.7857142857142857,0.7692307692307693,0.8333333333333334,0.7142857142857143,6,1,2,5
40,logistic_regression,28,14,0.8163265306122449,0.8864468864468864,0.7857142857142857,0.7272727272727273,1.0,0.5714285714285714,7,0,3,4
40,random_forest,28,14,0.7244897959183674,0.782142857142857,0.5714285714285714,0.5,0.6,0.42857142857142855,5,2,4,3
41,logistic_regression,28,14,0.6938775510204082,0.7178571428571427,0.5714285714285714,0.6666666666666666,0.5454545454545454,0.8571428571428571,2,5,1,6
41,random_forest,28,14,0.8979591836734694,0.9404761904761902,0.8571428571428571,0.8333333333333334,1.0,0.7142857142857143,7,0,2,5
42,logistic_regression,28,14,0.7142857142857143,0.7527734170591314,0.6428571428571429,0.6153846153846154,0.6666666666666666,0.5714285714285714,5,2,3,4
42,random_forest,28,14,0.979591836734694,0.982142857142857,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,1,1,6
43,logistic_regression,28,14,0.7346938775510203,0.7591836734693878,0.5714285714285714,0.5,0.6,0.42857142857142855,5,2,4,3
43,random_forest,28,14,0.9387755102040816,0.947845804988662,0.7857142857142857,0.7272727272727273,1.0,0.5714285714285714,7,0,3,4
44,logistic_regression,28,14,0.7551020408163265,0.8170591313448454,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,5
44,random_forest,28,14,0.8775510204081632,0.8976190476190475,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,5
45,logistic_regression,28,14,0.7551020408163265,0.8170591313448454,0.7142857142857143,0.6666666666666666,0.8,0.5714285714285714,6,1,3,4
45,random_forest,28,14,0.8979591836734693,0.8976190476190475,0.7142857142857143,0.6,1.0,0.42857142857142855,7,0,4,3
46,logistic_regression,28,14,0.7551020408163266,0.7520408163265306,0.7142857142857143,0.6666666666666666,0.8,0.5714285714285714,6,1,3,4
46,random_forest,28,14,0.8571428571428571,0.8962585034013604,0.7857142857142857,0.7272727272727273,1.0,0.5714285714285714,7,0,3,4
47,logistic_regression,28,14,0.673469387755102,0.7359366823652538,0.6428571428571429,0.7058823529411765,0.6,0.8571428571428571,3,4,1,6
47,random_forest,28,14,0.8571428571428572,0.8752628324056895,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,1,1,6
48,logistic_regression,28,14,0.8163265306122449,0.7857142857142858,0.7142857142857143,0.7777777777777778,0.6363636363636364,1.0,3,4,0,7
48,random_forest,28,14,1.0,0.9999999999999998,0.9285714285714286,0.9333333333333333,0.875,1.0,6,1,0,7
